study,variant,lam,gam,phi,total_pnl,score,max_dd
A-stationary,static,0.5,0.7,1e-06,95786.7,213.78,0.0
A-stationary,fillmodel,0.5,0.7,1e-06,100584.2,252.88,0.0
A-stationary,objective,0.5,0.7,1e-06,107981.5,290.36,0.0
A-stationary,static,0.5,1.0,1e-06,69774.0,181.61,0.0
A-stationary,fillmodel,0.5,1.0,1e-06,67496.4,172.46,0.0
A-stationary,objective,0.5,1.0,1e-06,77571.8,217.95,0.0
A-stationary,static,0.6,1.5,1e-06,50429.7,152.16,0.0
A-stationary,fillmodel,0.6,1.5,1e-06,51983.9,134.49,0.0
A-stationary,objective,0.6,1.5,1e-06,63397.0,182.98,0.0
A-stationary,static,0.5,2.0,1e-06,24229.2,106.64,0.0
A-stationary,fillmodel,0.5,2.0,1e-06,30450.9,101.89,125.2
A-stationary,objective,0.5,2.0,1e-06,37273.6,145.77,0.0
A-stationary,static,0.7,0.8,1e-05,121852.4,247.45,0.0
A-stationary,fillmodel,0.7,0.8,1e-05,121365.3,246.35,0.0
A-stationary,objective,0.7,0.8,1e-05,132900.6,309.91,0.0
B-regime-shift,static,shift,shift,shift,79999.3,49.11,0.0
B-regime-shift,fillmodel,shift,shift,shift,88384.3,49.68,0.0
B-regime-shift,objective,shift,shift,shift,95472.2,51.25,0.0
